question_nr_exp;question;label_text;A;B;C;D;E;image_link;answer
1;50;During which US space program was this image taken?;Space Shuttle;Project Mercury;Skylab;Dream Chaser;Space X;https://www.econlab.mpg.de/fileadmin/user_upload/ASG_GK_pics/50.jpg;2
2;52;How is the quality of this device measured?;Alphabet per Strike;Alphabet per Inch;Words per Inch;Strike per Inch;Dots per Inch;https://www.econlab.mpg.de/fileadmin/user_upload/ASG_GK_pics/52.jpg;5
3;59;Launched in 2009, what type of service does the shown application provide?;Mobile payment;Online shopping;Investment consulting;E-learning;Browser;https://www.econlab.mpg.de/fileadmin/user_upload/ASG_GK_pics/59.jpg;1
4;60;What is the name of the computer launched in 1997 that is able to play the depicted board game?;Cray Blitz;Deep Thought;Deep Blue;Deep Junior;Deep Fritz;https://www.econlab.mpg.de/fileadmin/user_upload/ASG_GK_pics/60.jpg;3
5;88;What is the name of the planet in the upper right corner of the image?;Uranus;Mercury;Jupiter;Neptune;Mars;https://www.econlab.mpg.de/fileadmin/user_upload/ASG_GK_pics/88.jpg;4
6;90;The arrow in this image possesses which type of energy?;Electrical energy;Magnetic energy;Potential energy;Sonic energy;Kinetic energy;https://www.econlab.mpg.de/fileadmin/user_upload/ASG_GK_pics/90.jpg;3
7;101;For which purpose is this device used?;measuring electrical power;detecting presence of electric charge;converting mechanical energy into electrical energy;measuring electric current;None of the above;https://www.econlab.mpg.de/fileadmin/user_upload/ASG_GK_pics/101.jpg;4
8;92;Which term does NOT describe the depicted natural hazard?;Tornado;Typhoon;Cyclone;All terms are correct.;Blizzard;https://www.econlab.mpg.de/fileadmin/user_upload/ASG_GK_pics/92.jpg;5
9;97;What is the name of the telescope depicted here?;Fermi Gamma-ray Space Telescope;James Webb Space Telescope;Spitzer Space Telescope;Hubble Space Telescope;Nancy Grace Roman Space Telescope;https://www.econlab.mpg.de/fileadmin/user_upload/ASG_GK_pics/97.jpg;5
10;98;The twist shown in the image is an example of which optical phenomenon?;Dispersion of light;Refraction of light;Total Internal Reflection;Diffuse reflection;Absorption of light;https://www.econlab.mpg.de/fileadmin/user_upload/ASG_GK_pics/98.jpg;2
